CarNumber,Refund,Fines,Make,Model,Year
H387TM197RUS,2,1600.0,Volkswagen,Passat,1981
8049HT125RUS,1,500.0,Ford,Focus,1981
9698MO178RUS,2,18400.0,Volkswagen,Golf,1995
8685HE154RUS,1,1000.0,Ford,Focus,2013
7177TT36RUS,1,1000.0,Ford,Focus,2013
O77997197RUS,1,22400.0,Ford,Focus,1991
Y234E877RUS,1,8594.6,Ford,Focus,1991
97987H178RUS,2,5000.0,Ford,Focus,1993
X257HE161RUS,2,10000.0,Ford,Focus,2017
T399KX197RUS,2,10200.0,Ford,Focus,2016
H957HY161RUS,1,2000.0,Ford,Focus,2002
K379HY161RUS,1,200.0,Volkswagen,Golf,1997
T654HT96RUS,1,4000.0,Toyota,Corolla,1989
8439XX154RUS,2,4600.0,Ford,Focus,2009
Y965EE197RUS,2,9600.0,Ford,Focus,1983
X758HY197RUS,2,24200.0,Ford,Focus,2010
M0279X197RUS,2,180000.0,Ford,Focus,2018
H224X836RUS,1,3500.0,Ford,Focus,2008
E6849O154RUS,1,200.0,Volkswagen,Golf,2004
O83797197RUS,2,75900.0,Ford,Focus,1981
9402KK197RUS,2,8594.6,Toyota,Camry,1981
7368C8197RUS,1,4400.0,Ford,Focus,2008
H427YH197RUS,2,29700.0,Volkswagen,Passat,1996
9583EY178RUS,2,4300.0,Ford,Focus,2005
Y038E877RUS,2,6500.0,Ford,Focus,2015
9822H8161RUS,1,100.0,Ford,Focus,1990
7826C8197RUS,2,3600.0,Ford,Focus,1989
E160YX77RUS,2,2200.0,Ford,Focus,1984
82337X197RUS,2,2100.0,Ford,Focus,2008
X757HY197RUS,2,6800.0,Ford,Focus,1996
X765HY197RUS,2,13900.0,Ford,Focus,2014
934497178RUS,2,1900.0,Skoda,Octavia,1980
K2807K154RUS,1,1000.0,Ford,Focus,2010
T8008Y125RUS,2,1000.0,Ford,Focus,1994
X765HY197RUS,2,27800.0,Ford,Focus,1981
Y960EE197RUS,1,8594.6,Skoda,Octavia,1994
7840C8197RUS,2,7000.0,Ford,Focus,1981
K846YE77RUS,2,2000.0,Volkswagen,Passat,2016
E40577152RUS,1,500.0,Ford,Focus,1980
7827C8197RUS,1,7500.0,Ford,Focus,1983
Y655E8750RUS,2,5200.0,Skoda,Octavia,1987
H003MH197RUS,2,2900.0,Ford,Focus,2012
Y7699C197RUS,2,15800.0,Ford,Focus,2004
Y8399C197RUS,2,1800.0,Ford,Focus,2015
9135X938RUS,2,4400.0,Ford,Focus,2010
H385TM197RUS,1,9500.0,Volkswagen,Passat,1990
9428EX178RUS,1,1000.0,Ford,Focus,2009
H837YK197RUS,2,4200.0,Audi,,2003
O83597197RUS,2,4000.0,Ford,Focus,2019
E42577152RUS,2,8594.6,Ford,Focus,2010
E53277152RUS,1,1000.0,Ford,Focus,2017
C476M7161RUS,2,1500.0,Ford,Focus,1992
9943KK197RUS,2,29700.0,Ford,Focus,2015
8165XX154RUS,1,4900.0,Ford,Focus,2014
T476KX197RUS,1,1500.0,Ford,Focus,1998
C422X938RUS,2,10500.0,Ford,Focus,2006
K328T8197RUS,1,300.0,Volkswagen,Golf,2011
9466EX178RUS,2,800.0,Ford,Focus,1995
X256HE161RUS,1,2400.0,Ford,Focus,2005
Y275O8197RUS,1,8594.6,Ford,Focus,1998
8165XX154RUS,2,4200.0,Ford,Focus,1994
E432XX77RUS,2,13000.0,Toyota,Camry,2018
7830C8197RUS,2,10200.0,Ford,Focus,1983
H217X836RUS,1,2000.0,Ford,Focus,2006
Y316E877RUS,2,7000.0,Ford,Focus,2017
934497178RUS,1,3800.0,Skoda,Octavia,1992
O77997197RUS,2,8594.6,Ford,Focus,1981
8601XX154RUS,1,1300.0,Skoda,Octavia,1985
M741T9152RUS,2,1000.0,Ford,Focus,1990
9883HX152RUS,2,1000.0,Ford,Focus,2016
Y6829Y50RUS,1,500.0,Ford,Focus,1983
H004MH197RUS,1,39600.0,Ford,Focus,2002
704987163RUS,2,8594.6,Ford,Focus,1985
E160YX77RUS,2,1100.0,Ford,Focus,1991
E316EH197RUS,1,1300.0,Volkswagen,,1999
X758HY197RUS,2,72600.0,Ford,Focus,2015
O22297197RUS,1,500.0,Ford,Focus,2014
O02597197RUS,1,800.0,Ford,Focus,2019
X015HY197RUS,2,16000.0,Toyota,Corolla,1991
T769OT197RUS,2,30900.0,Volkswagen,Golf,1980
Y778EE197RUS,1,24000.0,Volkswagen,Golf,1985
7829C8197RUS,2,1800.0,Ford,Focus,2016
T272HH163RUS,1,1000.0,Ford,Focus,1981
T018OX197RUS,2,3400.0,Toyota,Corolla,2006
Y255E877RUS,1,2500.0,Ford,Focus,2001
9182CE154RUS,2,13200.0,Ford,Focus,1996
9697MO178RUS,1,1000.0,Volkswagen,Golf,1993
C477M7161RUS,2,5000.0,Ford,Focus,1995
T686EO197RUS,1,500.0,Toyota,Camry,2003
C590EY154RUS,2,8594.6,Ford,Focus,1982
T941CC96RUS,1,2000.0,Ford,Focus,1995
O22397197RUS,2,55500.0,Ford,Focus,1991
X242EC197RUS,2,10600.0,Volkswagen,Golf,2008
T020OX197RUS,1,34300.0,Toyota,Corolla,1999
E33577152RUS,2,2000.0,Ford,Focus,1998
Y973O8197RUS,1,34800.0,Ford,Focus,2003
E773EH197RUS,2,6800.0,Ford,Focus,2006
T6428M116RUS,2,6000.0,Ford,Focus,1996
Y7129Y50RUS,2,32000.0,Ford,Focus,1994
Y418EX197RUS,2,900.0,Volkswagen,Passat,1987
Y7689C197RUS,1,27000.0,Ford,Focus,2013
7066C8197RUS,1,3000.0,Volkswagen,Passat,1990
E52877152RUS,1,1500.0,Ford,Focus,2019
7369C8197RUS,2,8594.6,Ford,Focus,2011
Y166O8161RUS,1,100.0,Ford,Focus,2002
705287163RUS,2,2000.0,Ford,Focus,1980
K559KC161RUS,1,100.0,Ford,Focus,1997
M0299X197RUS,2,67200.0,Ford,Focus,1981
92928M178RUS,1,600.0,Ford,Focus,1985
9822H8161RUS,1,200.0,Ford,Focus,2002
8603T8154RUS,1,3000.0,Ford,Focus,2001
84418C154RUS,1,3000.0,Ford,Focus,1990
E53488152RUS,2,1800.0,Ford,Focus,1991
9697MO178RUS,1,500.0,Volkswagen,Golf,1995
Y7709C197RUS,1,1500.0,Ford,Focus,1993
90159H178RUS,2,600.0,Volkswagen,Passat,2015
C798ET50RUS,1,10000.0,Ford,Focus,1999
Y193O8161RUS,2,600.0,Ford,Focus,2019
7248C8197RUS,2,8600.0,Ford,Mondeo,1989
Y275O8197RUS,1,6000.0,Ford,Focus,2012
K357YE77RUS,1,5000.0,Volkswagen,Golf,1998
9697MO178RUS,1,8594.6,Volkswagen,Golf,1983
E0697X152RUS,1,2000.0,Skoda,Octavia,1983
E40877152RUS,1,1000.0,Ford,Focus,1989
Y351O8197RUS,1,1500.0,Ford,Focus,2005
Y356O8197RUS,2,45900.0,Ford,Focus,2017
O6939X163RUS,1,7200.0,Ford,Focus,2006
Y7649C197RUS,2,5300.0,Ford,Focus,1982
9935TE152RUS,2,2500.0,Ford,Focus,1981
704687163RUS,2,1400.0,Ford,Focus,2004
7197TT36RUS,2,6800.0,Ford,Focus,1991
X765HY197RUS,2,41700.0,Ford,Focus,2001
H115YO163RUS,1,8594.6,Ford,Focus,2010
O143HO197RUS,2,30300.0,Toyota,Corolla,1991
K436MO152RUS,1,1500.0,Ford,Focus,2018
9938OH154RUS,1,500.0,Skoda,Octavia,2013
E34877152RUS,2,6100.0,Ford,Focus,2014
E5878M777RUS,1,8500.0,Skoda,Octavia,1991
E33577152RUS,1,1000.0,Ford,Focus,1985
7844C8197RUS,2,34000.0,Ford,Focus,1981
X256HE161RUS,2,800.0,Ford,Focus,1987
C584EY154RUS,1,500.0,Ford,Focus,2014
E28977161RUS,2,1500.0,Ford,Focus,2019
T016OX197RUS,2,3200.0,Toyota,Corolla,1993
H889YK197RUS,2,10600.0,Ford,Focus,2000
7363C8197RUS,2,1600.0,Ford,Focus,1993
T6039O50RUS,2,1500.0,Ford,Focus,2008
7365C8197RUS,1,2300.0,Ford,Focus,1983
Y967O8197RUS,1,4000.0,Ford,Focus,1980
E816HE77RUS,1,3000.0,Ford,Focus,1995
T6329O50RUS,1,500.0,Ford,Focus,2017
X504X8197RUS,1,8594.6,Skoda,Octavia,1983
M581CH197RUS,1,200.0,Ford,Focus,2008
X523OM161RUS,2,800.0,Ford,Focus,1989
C412X938RUS,1,1000.0,Ford,Focus,1997
7831C8197RUS,2,3400.0,Ford,Focus,1986
8164XX154RUS,2,4400.0,Ford,Focus,1981
H004MH197RUS,2,9900.0,Ford,Focus,2019
X015HY197RUS,2,24000.0,Toyota,Corolla,2010
T6419O50RUS,2,9000.0,Ford,Focus,2018
E822TH36RUS,2,12900.0,Ford,Focus,1999
8437XX154RUS,1,8594.6,Ford,Focus,2002
E445TC197RUS,1,3400.0,Ford,Focus,2013
C515X938RUS,1,1900.0,Ford,Focus,2002
7172TT36RUS,2,5700.0,Ford,Focus,1992
8436XX154RUS,1,800.0,Ford,Focus,2003
E79988152RUS,1,500.0,Ford,Focus,2018
8180XX154RUS,1,2800.0,Ford,Focus,1987
84438C154RUS,2,3800.0,Ford,Focus,1998
T6309O50RUS,2,24000.0,Ford,Focus,2009
T6129O50RUS,2,6000.0,Ford,Focus,2011
K339T8197RUS,2,19200.0,Ford,Focus,2006
8685HE154RUS,1,2000.0,Ford,Focus,2001
X782CO96RUS,1,8594.6,Ford,Focus,2003
E591HE77RUS,2,6000.0,Ford,Focus,2014
89587X197RUS,1,4400.0,Toyota,Camry,1999
9499KX178RUS,1,2300.0,Ford,Focus,1992
8818C877RUS,1,5000.0,Volkswagen,Passat,1985
Y357O8197RUS,1,2200.0,Ford,Focus,2003
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,1985
X767HY197RUS,2,18000.0,Ford,Focus,1996
H220X836RUS,1,7000.0,Ford,Focus,2013
H218X836RUS,2,17500.0,Ford,Focus,2012
T913CT197RUS,1,7900.0,Toyota,Camry,2007
T6439O50RUS,2,16500.0,Ford,Focus,1995
7784KT197RUS,2,13200.0,Ford,Focus,2014
X286TC36RUS,2,8594.6,Ford,Focus,2007
O752MX161RUS,1,1300.0,Ford,Focus,2015
Y7449Y50RUS,1,8000.0,Ford,Focus,2009
H115YO163RUS,2,1100.0,Ford,Focus,2015
8818C877RUS,2,10000.0,Volkswagen,Passat,1984
92828M178RUS,1,300.0,Ford,Focus,1990
Y650E8750RUS,1,500.0,Skoda,Octavia,2004
X767HY197RUS,2,36000.0,Ford,Focus,2017
9498KX178RUS,2,800.0,Ford,Focus,2004
83298C154RUS,1,100.0,Ford,Focus,1993
8321XX154RUS,1,100.0,Ford,Focus,1982
8316XX154RUS,1,2200.0,Ford,Focus,1986
T017OX197RUS,2,12700.0,Toyota,Corolla,2004
H977HY161RUS,1,8594.6,Ford,Focus,1997
7788KT197RUS,2,8594.6,Ford,Focus,2006
X522OM161RUS,1,1500.0,Ford,Focus,2008
O085E8197RUS,1,300.0,Volkswagen,Golf,1984
8166XX154RUS,1,600.0,Ford,Focus,2002
705387163RUS,2,700.0,Ford,Focus,1987
O017KO197RUS,1,800.0,Ford,Focus,2011
X4138H125RUS,1,300.0,Ford,Focus,2010
8441XX154RUS,1,500.0,Ford,Focus,1994
M0269X197RUS,2,8594.6,Ford,Focus,2016
7781KT197RUS,1,1200.0,Ford,Focus,1987
T483CT96RUS,1,500.0,Ford,Focus,2010
T940CC96RUS,2,1500.0,Ford,Focus,2004
C58078163RUS,1,100.0,Ford,Focus,2009
O02397197RUS,1,4000.0,Volkswagen,Jetta,2005
T018OX197RUS,2,6800.0,Toyota,Corolla,1996
H963HY161RUS,1,1400.0,Ford,Focus,2019
8611T8154RUS,2,2000.0,Ford,Focus,1998
704787163RUS,2,2800.0,Ford,Focus,1992
E53488152RUS,2,3600.0,Ford,Focus,2004
Y7129Y50RUS,1,16000.0,Ford,Focus,2006
C313MM99RUS,1,7500.0,Toyota,Camry,2019
8611T8154RUS,1,1000.0,Ford,Focus,1983
X763HY197RUS,2,9500.0,Ford,Focus,2009
M386M9197RUS,2,5800.0,Volkswagen,Golf,1989
8605T8154RUS,1,1000.0,Ford,Focus,1990
O22297197RUS,1,8594.6,Ford,Focus,1981
7147OE161RUS,1,500.0,Ford,Focus,1997
O134HE197RUS,2,7600.0,Ford,Focus,2008
7361C8197RUS,1,1600.0,Ford,Focus,2005
Y359EY197RUS,2,3000.0,Skoda,Octavia,2018
T6559O50RUS,1,4000.0,Ford,Focus,2009
E53277152RUS,1,500.0,Ford,Focus,2012
X015HY197RUS,1,8000.0,Toyota,Corolla,1987
9469EX178RUS,2,2100.0,Ford,Focus,1980
Y6839Y50RUS,2,3000.0,Ford,Focus,2005
H237YH197RUS,1,600.0,Ford,Focus,2002
T948OM96RUS,1,2000.0,Ford,Focus,1988
T395KX197RUS,2,15200.0,Ford,Focus,2016
M301CH161RUS,1,8000.0,Ford,Focus,1990
M581CH197RUS,1,100.0,Ford,Focus,1992
E79988152RUS,1,1500.0,Ford,Focus,2011
9496KX178RUS,1,500.0,Ford,Focus,2009
T6319O50RUS,2,8594.6,Ford,Focus,2006
H305T8197RUS,1,28100.0,Ford,Focus,1991
8201XX154RUS,2,2600.0,Ford,Focus,2009
O64297197RUS,1,300.0,Ford,Focus,1985
9523M8178RUS,1,600.0,Skoda,Octavia,1986
Y273O8197RUS,2,52600.0,Ford,Focus,2015
T6229O50RUS,2,2500.0,Ford,Focus,2003
9943KK197RUS,2,19800.0,Ford,Focus,2019
X023HY197RUS,2,10200.0,Volvo,,2019
8226XX154RUS,2,1000.0,Ford,Focus,1995
Y038TO197RUS,1,7600.0,Toyota,Corolla,1990
M0289X197RUS,2,40600.0,Ford,Focus,2000
E811HE77RUS,2,7000.0,Ford,Focus,1988
X795O796RUS,1,2000.0,Ford,Focus,2009
O39997197RUS,1,9000.0,Ford,Focus,1998
97968K152RUS,2,500.0,Ford,Focus,1985
K339T8197RUS,2,8594.6,Ford,Focus,1998
H219X836RUS,1,1600.0,Ford,Focus,1988
T6169O50RUS,1,500.0,Ford,Focus,1994
Y352O8197RUS,2,25900.0,Ford,Focus,1999
94178K154RUS,1,500.0,Ford,Focus,1980
7365C8197RUS,2,6900.0,Ford,Focus,2015
9467EX178RUS,2,3700.0,Ford,Focus,1987
O78097197RUS,2,1400.0,Ford,Focus,2006
X5707X161RUS,2,500.0,Volkswagen,Passat,2006
Y232E877RUS,2,5000.0,Ford,Focus,1996
Y388E877RUS,2,19000.0,Ford,Focus,2012
X255HE161RUS,1,400.0,Ford,Focus,2001
E552MO152RUS,1,8594.6,Ford,Focus,1980
97998K152RUS,2,6300.0,Ford,Focus,2013
Y963O8197RUS,2,21600.0,Ford,Focus,2000
Y778EE197RUS,2,168000.0,Volkswagen,Golf,2000
T654HT96RUS,2,2000.0,Toyota,Corolla,1982
T477KX197RUS,2,94000.0,Ford,Focus,1994
T2639T116RUS,1,3000.0,Ford,Focus,1995
O49797197RUS,2,5300.0,Ford,Focus,1981
O83597197RUS,2,8000.0,Ford,Focus,2002
H387TM197RUS,2,3200.0,Volkswagen,Passat,1983
O68897197RUS,1,8200.0,Ford,Focus,1980
72457Y96RUS,1,900.0,Ford,Focus,2012
7064C8197RUS,1,12800.0,Volkswagen,Passat,2003
E948C8152RUS,2,6000.0,Ford,Focus,2004
C514X938RUS,2,8594.6,Ford,Focus,2018
C589EY154RUS,1,4500.0,Ford,Focus,1984
K899T8197RUS,2,15400.0,Ford,Focus,1985
T6418M116RUS,2,24600.0,Ford,Focus,2010
8607XX154RUS,2,2400.0,Skoda,Octavia,2001
92778M178RUS,2,3000.0,Ford,Focus,1985
T288CT96RUS,1,4500.0,Ford,Focus,1980
9886HX152RUS,2,2900.0,Ford,Focus,1986
C583EY154RUS,1,1000.0,Ford,Focus,1993
7788KT197RUS,1,20000.0,Ford,Focus,2006
T016OX197RUS,2,9600.0,Toyota,Corolla,2017
T6419O50RUS,2,27000.0,Ford,Focus,1994
C592EY154RUS,1,1000.0,Ford,Focus,1989
T6459O50RUS,1,2000.0,Ford,Focus,2000
Y356O8197RUS,2,8594.6,Ford,Focus,1982
X759HY197RUS,2,12500.0,Ford,Focus,1995
705787163RUS,1,100.0,Ford,Focus,1997
Y973O8197RUS,1,69600.0,Ford,Focus,2017
92898M178RUS,1,1600.0,Ford,Focus,1990
9671EC178RUS,1,600.0,Ford,Focus,1995
M302CH161RUS,1,500.0,Ford,Focus,1989
X023HY197RUS,2,6800.0,Volvo,,1982
M578CH197RUS,2,9000.0,Ford,Focus,2016
O77997197RUS,2,5600.0,Ford,Focus,1983
7368C8197RUS,2,8800.0,Ford,Focus,2004
9683EC178RUS,2,6500.0,Ford,Focus,1995
Y207O8161RUS,1,500.0,Ford,Focus,2004
96659X178RUS,1,2700.0,Ford,Focus,2007
T912CT197RUS,2,19800.0,Toyota,Camry,2001
7183TT36RUS,2,16200.0,Ford,Focus,2001
89557X197RUS,2,22400.0,Toyota,Camry,1989
E773EH197RUS,2,8594.6,Ford,Focus,1985
Y359O8197RUS,1,2000.0,Ford,Focus,2002
K2817K154RUS,1,4500.0,Ford,Focus,2009
X758HY197RUS,2,145200.0,Ford,Focus,2009
Y964O8197RUS,1,1000.0,Ford,Focus,1992
H967HY161RUS,2,4500.0,Ford,Focus,1990
E394MO152RUS,2,10500.0,Ford,Focus,1982
O50699163RUS,1,1100.0,Ford,Focus,1984
9463EX178RUS,1,1400.0,Ford,Focus,2014
E53677152RUS,2,5500.0,Ford,Focus,2005
K338T8197RUS,2,17400.0,Ford,Focus,1986
Y4298M777RUS,2,2000.0,Skoda,Octavia,2019
Y687HM197RUS,1,8594.6,BMW,,2015
8311XX154RUS,2,4300.0,Ford,Focus,2010
98037H178RUS,2,2500.0,Ford,Focus,1993
7828C8197RUS,2,6700.0,Ford,Focus,2017
H980HY161RUS,2,1800.0,Ford,Focus,1991
H906YK197RUS,1,12000.0,Ford,Focus,2003
7199MT197RUS,1,9300.0,Volkswagen,Golf,1987
X908XC197RUS,2,46000.0,Volkswagen,Jetta,2009
T171CC96RUS,2,2000.0,Ford,Focus,1986
X4108H125RUS,2,1300.0,Ford,Focus,2005
Y966O8197RUS,2,10400.0,Ford,Focus,2017
K2797K154RUS,2,2400.0,Ford,Focus,2004
7089H8163RUS,2,4400.0,Toyota,Corolla,1998
9883HX152RUS,1,500.0,Ford,Focus,1987
7841C8197RUS,1,12000.0,Ford,Focus,2011
9940KK197RUS,1,8594.6,Ford,Focus,2009
H224X836RUS,2,7000.0,Ford,Focus,1985
H971HY161RUS,2,7400.0,Ford,Focus,2013
M0269X197RUS,2,20600.0,Ford,Focus,1985
E316EH197RUS,1,1300.0,Volkswagen,Touareg,2014
X257HE161RUS,1,5000.0,Ford,Focus,2014
H844YH197RUS,2,3000.0,Ford,Focus,1988
9523M8178RUS,2,300.0,Skoda,Octavia,2016
E33477152RUS,1,500.0,Ford,Focus,1989
Y156E877RUS,2,7500.0,Ford,Focus,2013
E396MO152RUS,2,3000.0,Ford,Focus,1998
E0697X152RUS,2,8594.6,Skoda,Octavia,1992
Y969O8197RUS,1,15600.0,Ford,Focus,1988
9028CO161RUS,1,1500.0,Ford,Focus,2007
7840C8197RUS,2,3500.0,Ford,Focus,1988
T6249O50RUS,2,8500.0,Ford,Focus,1989
E53677152RUS,2,11000.0,Ford,Focus,2011
E42377152RUS,2,3000.0,Ford,Focus,1985
9941KK197RUS,1,800.0,Ford,Focus,2000
E28877161RUS,1,500.0,Ford,Focus,2010
M0299X197RUS,2,19200.0,Ford,Focus,2018
M372CH197RUS,1,21600.0,Ford,Focus,1984
K040CC197RUS,2,3600.0,Ford,Focus,2017
E41577152RUS,2,3000.0,Ford,Focus,2013
9763HY161RUS,1,900.0,Ford,Focus,2013
T535ET96RUS,2,3000.0,Ford,Focus,1989
92918M178RUS,2,7600.0,Ford,Focus,2009
Y655E8750RUS,1,2600.0,Skoda,Octavia,2010
K2797K154RUS,1,8594.6,Ford,Focus,1990
K559KC161RUS,1,200.0,Ford,Focus,2004
7369C8197RUS,2,10100.0,Ford,Focus,1990
8321XX154RUS,1,200.0,Ford,Focus,2001
O134HE197RUS,2,11400.0,Ford,Focus,2007
H961HY161RUS,2,2500.0,Ford,Focus,2017
M2169X197RUS,2,3100.0,Ford,Focus,2005
707987163RUS,1,1100.0,Ford,Focus,2002
8234XX154RUS,1,1300.0,Ford,Focus,2016
X759HY197RUS,1,37500.0,Ford,Focus,2009
O83697197RUS,2,6100.0,Ford,Focus,2013
92918M178RUS,1,1900.0,Ford,Focus,2001
92928M178RUS,1,1200.0,Ford,Focus,1997
E52677152RUS,2,2500.0,Ford,Focus,2015
8451M7154RUS,1,500.0,Ford,Focus,2002
9589EY178RUS,1,8594.6,Ford,Focus,1994
H907YK197RUS,2,7100.0,Ford,Focus,2015
O39897197RUS,2,3800.0,Ford,Focus,2016
M3879X197RUS,2,6300.0,Volkswagen,Touareg,2010
C299K9154RUS,1,500.0,Ford,Focus,1992
M0299X197RUS,1,9600.0,Ford,Focus,2011
8437XX154RUS,2,800.0,Ford,Focus,1990
9468EX178RUS,1,4000.0,Ford,Focus,2003
M375CH197RUS,2,18100.0,Ford,Focus,1985
H982HY161RUS,1,300.0,Ford,Focus,2015
8201XX154RUS,1,7800.0,Ford,Focus,2009
8224XX154RUS,1,2500.0,Ford,Focus,2002
O22397197RUS,1,18500.0,Ford,Focus,2008
Y653E8750RUS,1,500.0,Skoda,Octavia,2011
K558KC161RUS,1,500.0,Ford,Focus,1991
O058M7161RUS,1,1900.0,Ford,Focus,2012
M256OH161RUS,2,1600.0,Ford,Focus,2011
7183TT36RUS,2,5400.0,Ford,Focus,2005
T242H8197RUS,2,8594.6,Skoda,Octavia,2013
K27188138RUS,1,2000.0,Ford,Focus,2007
X782CO96RUS,1,1000.0,Ford,Focus,2002
Y7659C197RUS,1,1500.0,Ford,Focus,1983
X523OM161RUS,1,400.0,Ford,Focus,2011
96629X178RUS,1,7000.0,Ford,Focus,2011
9881HX152RUS,2,10300.0,Ford,Focus,2008
9020YC197RUS,2,72500.0,Skoda,Octavia,1989
T479KX197RUS,2,12000.0,Ford,Focus,1995
M680T9152RUS,2,9000.0,Volkswagen,Jetta,2007
7831C8197RUS,2,6800.0,Ford,Focus,2005
7844C8197RUS,2,17000.0,Ford,Focus,1987
T011MY163RUS,2,4000.0,Ford,Focus,2002
C410X938RUS,1,1100.0,Ford,Focus,2012
X762HY197RUS,1,500.0,Ford,Focus,1982
9470EX178RUS,1,500.0,Ford,Focus,1991
X4128H125RUS,2,8594.6,Ford,Focus,2011
9762HY161RUS,2,2600.0,Ford,Focus,1986
H419XE197RUS,2,6900.0,Toyota,Corolla,1998
98017H178RUS,1,1500.0,Ford,Focus,2005
Y780EE197RUS,2,4600.0,Volkswagen,Golf,1991
M580CH197RUS,2,9500.0,Ford,Focus,2005
T686EO197RUS,1,1000.0,Toyota,Camry,1993
9943OH154RUS,1,400.0,Skoda,Octavia,1985
Y354O8197RUS,1,10800.0,Ford,Focus,2002
7065C8197RUS,1,3800.0,Volkswagen,Passat,1994
E28777161RUS,1,800.0,Ford,Focus,2015
